strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Trinidad and Tobago/UWI-b6749794/2014|EPI_ISL_17456062	Illumina	hChikV	III-Asian	EPI_ISL_17456062	2014-11-09	South America	Trinidad and Tobago	unknown	unknown
hChikV/Trinidad and Tobago/UWI-eb0f7490/2014|EPI_ISL_17456063	Illumina	hChikV	III-Asian	EPI_ISL_17456063	2014-09-18	South America	Trinidad and Tobago	unknown	unknown
hChikV/Trinidad and Tobago/UWI-0e16bff3/2014|EPI_ISL_17456064	Illumina	hChikV	III-Asian	EPI_ISL_17456064	2014-09-17	South America	Trinidad and Tobago	unknown	unknown
hChikV/Saint Lucia/UWI-b2d9dd07/2014|EPI_ISL_17456065	Illumina	hChikV	III-Asian	EPI_ISL_17456065	2014-05-22	North America	Saint Lucia	unknown	unknown
hChikV/India/AP-SVU-09_fafa8a72/2009|EPI_ISL_17456080	unknown	hChikV	II-ECSA	EPI_ISL_17456080	2009-07-01	Asia	India	Andhra Pradesh	unknown
hChikV/India/AP-SVU-08_15cc4d69/2008|EPI_ISL_17456082	unknown	hChikV	II-ECSA	EPI_ISL_17456082	2008-07-01	Asia	India	Andhra Pradesh	unknown
hChikV/India/AP-SVU-09_f286a671/2009|EPI_ISL_17456083	unknown	hChikV	II-ECSA	EPI_ISL_17456083	2009-07-01	Asia	India	Andhra Pradesh	unknown
hChikV/Brazil/AL-UO-917db6c4/2016|EPI_ISL_17456103	Illumina	hChikV	II-ECSA	EPI_ISL_17456103	2016-04-16	South America	Brazil	Alagoas	unknown
hChikV/Brazil/RR-UO-abdec5db/2017|EPI_ISL_17456108	unknown	hChikV	II-ECSA	EPI_ISL_17456108	2017-03-02	South America	Brazil	Roraima	unknown
hChikV/Brazil/un-UO-ffe51ee1/2016|EPI_ISL_17456110	Illumina	hChikV	II-ECSA	EPI_ISL_17456110	2016-06-20	South America	Brazil	unknown	unknown
hChikV/Brazil/AL-UO-a093e35e/2016|EPI_ISL_17456121	Illumina	hChikV	II-ECSA	EPI_ISL_17456121	2016-04-07	South America	Brazil	Alagoas	unknown
hChikV/Brazil/AL-UO-2284bb10/2016|EPI_ISL_17456125	Illumina	hChikV	II-ECSA	EPI_ISL_17456125	2016-04-17	South America	Brazil	Alagoas	unknown
hChikV/Brazil/RR-UO-12b9dfd7/2017|EPI_ISL_17456128	unknown	hChikV	II-ECSA	EPI_ISL_17456128	2017-02-27	South America	Brazil	Roraima	unknown
hChikV/Brazil/un-UO-0b7cdf04/2016|EPI_ISL_17456129	Illumina	hChikV	II-ECSA	EPI_ISL_17456129	2016-06-17	South America	Brazil	unknown	unknown
hChikV/Brazil/RR-UO-963c2a5f/2017|EPI_ISL_17456132	unknown	hChikV	II-ECSA	EPI_ISL_17456132	2017-02-27	South America	Brazil	Roraima	unknown
hChikV/British Virgin Islands/CDC-00017/2014|EPI_ISL_17456176	IonTorrent	hChikV	III-Asian	EPI_ISL_17456176	2014-01-15	North America	British Virgin Islands	unknown	unknown
hChikV/Micronesia/CDC-00016/2013|EPI_ISL_17456177	IonTorrent	hChikV	III-Asian	EPI_ISL_17456177	2013-10-15	Oceania	Micronesia	Yap State	unknown
hChikV/India/un-CDC-00049/2016|EPI_ISL_17456178	IonTorrent	hChikV	II-ECSA	EPI_ISL_17456178	2016-08-28	Asia	India	unknown	unknown
hChikV/Micronesia/CDC-00015/2013|EPI_ISL_17456179	unknown	hChikV	III-Asian	EPI_ISL_17456179	2013-10-15	Oceania	Micronesia	Yap State	unknown
hChikV/Comoros/DVBID-00011/2005|EPI_ISL_17456180	unknown	hChikV	II-ECSA	EPI_ISL_17456180	2005-03-15	Africa	Comoros	Grande Comore	unknown
hChikV/Comoros/DVBID-00010/2005|EPI_ISL_17456182	unknown	hChikV	II-ECSA	EPI_ISL_17456182	2005-03-15	Africa	Comoros	Moroni	unknown
hChikV/Comoros/DVBID-00012/2005|EPI_ISL_17456184	unknown	hChikV	II-ECSA	EPI_ISL_17456184	2005-03-15	Africa	Comoros	Moroni	unknown
hChikV/Indonesia/un-EIMB-230/2015|EPI_ISL_17456188	Sanger	hChikV	III-Asian	EPI_ISL_17456188	2015-07-01	Asia	Indonesia	unknown	unknown
hChikV/Indonesia/un-EIMB-154/2015|EPI_ISL_17456192	Sanger	hChikV	III-Asian	EPI_ISL_17456192	2015-07-01	Asia	Indonesia	unknown	unknown
hChikV/Indonesia/un-EIMB-192/2015|EPI_ISL_17456200	Sanger	hChikV	III-Asian	EPI_ISL_17456200	2015-07-01	Asia	Indonesia	unknown	unknown
hChikV/Singapore/NEA-d3021781/2013|EPI_ISL_17456208	Sanger	hChikV	II-ECSA	EPI_ISL_17456208	2013-06-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-755f95b5/2008|EPI_ISL_17456210	unknown	hChikV	II-ECSA	EPI_ISL_17456210	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Sri Lanka/NEA-169fb35e/2008|EPI_ISL_17456211	unknown	hChikV	II-ECSA	EPI_ISL_17456211	2008-03-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-eacbd6f6/2013|EPI_ISL_17456212	unknown	hChikV	II-ECSA	EPI_ISL_17456212	2013-03-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-b0663a7f/2013|EPI_ISL_17456216	Sanger	hChikV	II-ECSA	EPI_ISL_17456216	2013-07-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-4e4a03b1/2013|EPI_ISL_17456220	unknown	hChikV	II-ECSA	EPI_ISL_17456220	2013-02-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-d9f0193a/2010|EPI_ISL_17456229	unknown	hChikV	II-ECSA	EPI_ISL_17456229	2010-02-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-6505b6be/2008|EPI_ISL_17456235	unknown	hChikV	II-ECSA	EPI_ISL_17456235	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-92f78887/2013|EPI_ISL_17456246	Sanger	hChikV	II-ECSA	EPI_ISL_17456246	2013-08-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-1f26eaf2/2012|EPI_ISL_17456249	Sanger	hChikV	II-ECSA	EPI_ISL_17456249	2012-11-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-00ecfd4b/2013|EPI_ISL_17456254	Sanger	hChikV	III-Asian	EPI_ISL_17456254	2013-05-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-fedadf35/2013|EPI_ISL_17456255	Sanger	hChikV	II-ECSA	EPI_ISL_17456255	2013-05-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-5839326f/2008|EPI_ISL_17456258	unknown	hChikV	II-ECSA	EPI_ISL_17456258	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Sri Lanka/NEA-7c7316f6/2008|EPI_ISL_17456260	unknown	hChikV	II-ECSA	EPI_ISL_17456260	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-6f428fa1/2008|EPI_ISL_17456284	unknown	hChikV	II-ECSA	EPI_ISL_17456284	2008-08-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-30edae92/2013|EPI_ISL_17456325	Sanger	hChikV	II-ECSA	EPI_ISL_17456325	2013-04-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-94859042/2011|EPI_ISL_17456328	Sanger	hChikV	II-ECSA	EPI_ISL_17456328	2011-10-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-f10a1484/2010|EPI_ISL_17456329	Sanger	hChikV	II-ECSA	EPI_ISL_17456329	2010-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-d01c453d/2008|EPI_ISL_17456338	unknown	hChikV	II-ECSA	EPI_ISL_17456338	2008-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-6bdc14d7/2015|EPI_ISL_17456340	Sanger	hChikV	II-ECSA	EPI_ISL_17456340	2015-10-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-e8cf59fb/2014|EPI_ISL_17456341	Sanger	hChikV	II-ECSA	EPI_ISL_17456341	2014-04-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-0c14e7be/2014|EPI_ISL_17456343	Sanger	hChikV	II-ECSA	EPI_ISL_17456343	2014-02-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-3312779c/2014|EPI_ISL_17456345	Sanger	hChikV	II-ECSA	EPI_ISL_17456345	2014-02-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-55fdfd49/2009|EPI_ISL_17456346	unknown	hChikV	II-ECSA	EPI_ISL_17456346	2009-12-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-0ad0c034/2013|EPI_ISL_17456347	Sanger	hChikV	II-ECSA	EPI_ISL_17456347	2013-12-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-8af4fc5f/2013|EPI_ISL_17456348	Sanger	hChikV	II-ECSA	EPI_ISL_17456348	2013-12-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-1603e7c5/2008|EPI_ISL_17456349	unknown	hChikV	II-ECSA	EPI_ISL_17456349	2008-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-34176ccc/2010|EPI_ISL_17456352	unknown	hChikV	II-ECSA	EPI_ISL_17456352	2010-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-9c4889b3/2008|EPI_ISL_17456353	unknown	hChikV	II-ECSA	EPI_ISL_17456353	2008-08-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-3379f182/2008|EPI_ISL_17456362	unknown	hChikV	II-ECSA	EPI_ISL_17456362	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-c9749a77/2010|EPI_ISL_17456370	unknown	hChikV	II-ECSA	EPI_ISL_17456370	2010-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-cfebc4c0/2017|EPI_ISL_17456371	Sanger	hChikV	II-ECSA	EPI_ISL_17456371	2017-06-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-6abd2925/2013|EPI_ISL_17456384	Sanger	hChikV	II-ECSA	EPI_ISL_17456384	2013-06-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-9b79ec03/2010|EPI_ISL_17456386	unknown	hChikV	II-ECSA	EPI_ISL_17456386	2010-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-cfc0cb76/2008|EPI_ISL_17456388	unknown	hChikV	II-ECSA	EPI_ISL_17456388	2008-07-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-dfcadf63/2008|EPI_ISL_17456395	unknown	hChikV	II-ECSA	EPI_ISL_17456395	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-624d7e42/2014|EPI_ISL_17456397	Sanger	hChikV	II-ECSA	EPI_ISL_17456397	2014-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-a6a6a131/2014|EPI_ISL_17456399	Sanger	hChikV	II-ECSA	EPI_ISL_17456399	2014-06-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-dc73e564/2009|EPI_ISL_17456400	unknown	hChikV	II-ECSA	EPI_ISL_17456400	2009-12-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-ed7d29cb/2009|EPI_ISL_17456401	unknown	hChikV	II-ECSA	EPI_ISL_17456401	2009-11-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-58c15c59/2008|EPI_ISL_17456402	unknown	hChikV	II-ECSA	EPI_ISL_17456402	2008-08-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-06bfa76f/2013|EPI_ISL_17456411	Sanger	hChikV	II-ECSA	EPI_ISL_17456411	2013-12-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-d3d4a397/2013|EPI_ISL_17456413	Sanger	hChikV	II-ECSA	EPI_ISL_17456413	2013-10-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-79697e3c/2013|EPI_ISL_17456415	Sanger	hChikV	II-ECSA	EPI_ISL_17456415	2013-05-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-c7c496d1/2013|EPI_ISL_17456416	Sanger	hChikV	II-ECSA	EPI_ISL_17456416	2013-05-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-c3d2c697/2008|EPI_ISL_17456418	unknown	hChikV	II-ECSA	EPI_ISL_17456418	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Sri Lanka/NEA-a26956ce/2008|EPI_ISL_17456424	unknown	hChikV	II-ECSA	EPI_ISL_17456424	2008-03-15	Asia	Sri Lanka	unknown	unknown
hChikV/Sri Lanka/NEA-3f58deb0/2008|EPI_ISL_17456426	unknown	hChikV	II-ECSA	EPI_ISL_17456426	2008-03-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-41c3e70c/2013|EPI_ISL_17456427	Sanger	hChikV	II-ECSA	EPI_ISL_17456427	2013-04-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-e34a78eb/2008|EPI_ISL_17456429	unknown	hChikV	II-ECSA	EPI_ISL_17456429	2008-03-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-574bce45/2011|EPI_ISL_17456430	Sanger	hChikV	II-ECSA	EPI_ISL_17456430	2011-11-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-90aa8185/2012|EPI_ISL_17456431	Sanger	hChikV	II-ECSA	EPI_ISL_17456431	2012-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-22758519/2012|EPI_ISL_17456432	Sanger	hChikV	III-Asian	EPI_ISL_17456432	2012-04-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-1c95a668/2012|EPI_ISL_17456433	Sanger	hChikV	II-ECSA	EPI_ISL_17456433	2012-10-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-2932c9d5/2012|EPI_ISL_17456434	Sanger	hChikV	III-Asian	EPI_ISL_17456434	2012-11-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-937e2d80/2008|EPI_ISL_17456436	unknown	hChikV	II-ECSA	EPI_ISL_17456436	2008-03-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-12c63265/2013|EPI_ISL_17456450	Sanger	hChikV	III-Asian	EPI_ISL_17456450	2013-01-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-ff264481/2013|EPI_ISL_17456471	Sanger	hChikV	II-ECSA	EPI_ISL_17456471	2013-10-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-2cae732a/2008|EPI_ISL_17456574	unknown	hChikV	II-ECSA	EPI_ISL_17456574	2008-08-15	Asia	Singapore	unknown	unknown
hChikV/Sri Lanka/NEA-81cab80e/2007|EPI_ISL_17456601	unknown	hChikV	II-ECSA	EPI_ISL_17456601	2007-07-15	Asia	Sri Lanka	unknown	unknown
hChikV/Sri Lanka/NEA-d83344b3/2007|EPI_ISL_17456602	unknown	hChikV	II-ECSA	EPI_ISL_17456602	2007-05-15	Asia	Sri Lanka	unknown	unknown
hChikV/Singapore/NEA-32f7c09c/2008|EPI_ISL_17456605	unknown	hChikV	II-ECSA	EPI_ISL_17456605	2008-07-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-e66dec40/2008|EPI_ISL_17456606	unknown	hChikV	II-ECSA	EPI_ISL_17456606	2008-07-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-306da1df/2008|EPI_ISL_17456607	unknown	hChikV	II-ECSA	EPI_ISL_17456607	2008-07-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-542c9d9b/2008|EPI_ISL_17456659	unknown	hChikV	II-ECSA	EPI_ISL_17456659	2008-05-15	Asia	Singapore	unknown	unknown
hChikV/Singapore/NEA-05db9aaa/2013|EPI_ISL_17456661	Sanger	hChikV	II-ECSA	EPI_ISL_17456661	2013-02-15	Asia	Singapore	unknown	unknown
hChikV/Haiti/UF-0000006/2014|EPI_ISL_17456672	unknown	hChikV	III-Asian	EPI_ISL_17456672	2014-06-15	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-0000009/2014|EPI_ISL_17456673	Sanger	hChikV	III-Asian	EPI_ISL_17456673	2014-06-24	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-0000005/2014|EPI_ISL_17456674	Sanger	hChikV	III-Asian	EPI_ISL_17456674	2014-06-05	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-0000007/2014|EPI_ISL_17456675	Sanger	hChikV	III-Asian	EPI_ISL_17456675	2014-06-11	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-00003/2014|EPI_ISL_17456676	Sanger	hChikV	III-Asian	EPI_ISL_17456676	2014-06-09	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-0000004/2014|EPI_ISL_17456677	Sanger	hChikV	III-Asian	EPI_ISL_17456677	2014-05-29	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-0000003A/2014|EPI_ISL_17456678	Sanger	hChikV	III-Asian	EPI_ISL_17456678	2014-05-29	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-0000010/2014|EPI_ISL_17456679	Sanger	hChikV	III-Asian	EPI_ISL_17456679	2014-08-13	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-00002/2014|EPI_ISL_17456682	Sanger	hChikV	III-Asian	EPI_ISL_17456682	2014-06-02	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-0000008/2014|EPI_ISL_17456683	Sanger	hChikV	III-Asian	EPI_ISL_17456683	2014-06-02	North America	Haiti	unknown	unknown
hChikV/Haiti/UF-000006A/2014|EPI_ISL_17456684	Sanger	hChikV	III-Asian	EPI_ISL_17456684	2014-06-10	North America	Haiti	unknown	unknown
hChikV/Colombia/un-UF-00001/2016|EPI_ISL_17456685	Sanger	hChikV	III-Asian	EPI_ISL_17456685	2016-02-09	South America	Colombia	unknown	unknown
hChikV/Brazil/BA-ECI-BHI3741/2014|EPI_ISL_17456701	IonTorrent	hChikV	II-ECSA	EPI_ISL_17456701	2014-08-28	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-ECI-BHI3734/2014|EPI_ISL_17456703	IonTorrent	hChikV	II-ECSA	EPI_ISL_17456703	2014-08-26	South America	Brazil	Bahia	unknown
hChikV/Brazil/BA-ECI-BHI3745/2014|EPI_ISL_17456707	IonTorrent	hChikV	II-ECSA	EPI_ISL_17456707	2014-09-03	South America	Brazil	Bahia	unknown
hChikV/Brazil/PE-ECI-PER160/2014|EPI_ISL_17456708	IonTorrent	hChikV	III-Asian	EPI_ISL_17456708	2014-07-03	South America	Brazil	Pernambuco	unknown
hChikV/Brazil/PA-ECI-TR206/2014|EPI_ISL_17456711	IonTorrent	hChikV	III-Asian	EPI_ISL_17456711	2014-08-21	South America	Brazil	Para	unknown
hChikV/Brazil/AP-ECI-AMA2798/2014|EPI_ISL_17456712	IonTorrent	hChikV	III-Asian	EPI_ISL_17456712	2014-08-28	South America	Brazil	Amapa	unknown
hChikV/Brazil/AP-UFPA-05257a9d/2015|EPI_ISL_17456743	Illumina	hChikV	III-Asian	EPI_ISL_17456743	2015-02-25	South America	Brazil	Amapa	unknown
hChikV/Brazil/AP-UFPA-01edb440/2014|EPI_ISL_17456747	Illumina	hChikV	III-Asian	EPI_ISL_17456747	2014-10-24	South America	Brazil	Amapa	unknown
hChikV/Brazil/AP-UFPA-c908f2bf/2015|EPI_ISL_17456748	Illumina	hChikV	III-Asian	EPI_ISL_17456748	2015-02-20	South America	Brazil	Amapa	unknown
hChikV/Brazil/AP-UFPA-e32f91af/2014|EPI_ISL_17456749	Illumina	hChikV	III-Asian	EPI_ISL_17456749	2014-10-10	South America	Brazil	Amapa	unknown
hChikV/Brazil/RN-UFRN-e9422eb4/2016|EPI_ISL_17456786	Illumina	hChikV	II-ECSA	EPI_ISL_17456786	2016-01-13	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Brazil/RN-UFRN-a97484d7/2016|EPI_ISL_17456787	Illumina	hChikV	II-ECSA	EPI_ISL_17456787	2016-01-14	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Brazil/TO-UFT-8ed4b0e3/2022|EPI_ISL_17456833	Oxford Nanopore (MinION)	hChikV	II-ECSA	EPI_ISL_17456833	2022-02-09	South America	Brazil	Tocantins	unknown
hChikV/Brazil/TO-UFT-1e442afc/2022|EPI_ISL_17456836	Oxford Nanopore (MinION)	hChikV	II-ECSA	EPI_ISL_17456836	2022-02-07	South America	Brazil	Tocantins	unknown
hChikV/Brazil/TO-UFT-39dbbbc9/2022|EPI_ISL_17456838	Oxford Nanopore (MinION)	hChikV	II-ECSA	EPI_ISL_17456838	2022-01-25	South America	Brazil	Tocantins	unknown
hChikV/Brazil/TO-UFT-c1bc1c7c/2021|EPI_ISL_17456843	Oxford Nanopore (MinION)	hChikV	II-ECSA	EPI_ISL_17456843	2021-11-18	South America	Brazil	Tocantins	unknown
hChikV/Brazil/TO-UFT-8152d2b2/2021|EPI_ISL_17456847	Oxford Nanopore (MinION)	hChikV	II-ECSA	EPI_ISL_17456847	2021-10-08	South America	Brazil	Tocantins	unknown
hChikV/Brazil/TO-UFT-e5c53e98/2021|EPI_ISL_17456848	Oxford Nanopore (MinION)	hChikV	II-ECSA	EPI_ISL_17456848	2021-07-30	South America	Brazil	Tocantins	unknown
hChikV/Brazil/TO-UFT-69d26a15/2021|EPI_ISL_17456850	Oxford Nanopore	hChikV	II-ECSA	EPI_ISL_17456850	2021-09-14	South America	Brazil	Tocantins	unknown
hChikV/Brazil/TO-UFT-8e3e39fe/2022|EPI_ISL_17456854	Oxford Nanopore (MinION)	hChikV	II-ECSA	EPI_ISL_17456854	2022-01-22	South America	Brazil	Tocantins	unknown
hChikV/Djibouti/IRBA-851966ad/2019|EPI_ISL_17456858	IonTorrent	hChikV	II-ECSA	EPI_ISL_17456858	2019-12-15	Africa	Djibouti	Djibouti	unknown
hChikV/Brazil/BA-Fiocruz-00071/2016|EPI_ISL_17456871	unknown	hChikV	II-ECSA	EPI_ISL_17456871	2016-04-01	South America	Brazil	Bahia	unknown
hChikV/Brazil/MT-Fiocruz-00058/2018|EPI_ISL_17456878	unknown	hChikV	II-ECSA	EPI_ISL_17456878	2018-03-20	South America	Brazil	Mato Grosso	unknown
hChikV/Brazil/MT-Fiocruz-00049/2018|EPI_ISL_17456914	unknown	hChikV	II-ECSA	EPI_ISL_17456914	2018-02-01	South America	Brazil	Mato Grosso	unknown
hChikV/Brazil/RN-Fiocruz-00097/2019|EPI_ISL_17456920	unknown	hChikV	II-ECSA	EPI_ISL_17456920	2019-03-30	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Brazil/RN-Fiocruz-00096/2019|EPI_ISL_17456921	unknown	hChikV	II-ECSA	EPI_ISL_17456921	2019-03-30	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Brazil/RN-Fiocruz-00094/2019|EPI_ISL_17456923	unknown	hChikV	II-ECSA	EPI_ISL_17456923	2019-03-28	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Brazil/RN-Fiocruz-00093/2019|EPI_ISL_17456924	unknown	hChikV	II-ECSA	EPI_ISL_17456924	2019-03-27	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Brazil/RN-Fiocruz-00091/2019|EPI_ISL_17456926	unknown	hChikV	II-ECSA	EPI_ISL_17456926	2019-03-23	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Paraguay/Fiocruz-00073/2016|EPI_ISL_17456927	unknown	hChikV	III-Asian	EPI_ISL_17456927	2016-01-20	South America	Paraguay	unknown	unknown
hChikV/Brazil/BA-Fiocruz-00072/2016|EPI_ISL_17456929	unknown	hChikV	II-ECSA	EPI_ISL_17456929	2016-10-13	South America	Brazil	Bahia	unknown
hChikV/Paraguay/Fiocruz-00082/2018|EPI_ISL_17456934	unknown	hChikV	II-ECSA	EPI_ISL_17456934	2018-07-03	South America	Paraguay	unknown	unknown
hChikV/Paraguay/Fiocruz-00076/2016|EPI_ISL_17456935	unknown	hChikV	III-Asian	EPI_ISL_17456935	2016-02-22	South America	Paraguay	unknown	unknown
hChikV/Paraguay/Fiocruz-00075/2016|EPI_ISL_17456936	unknown	hChikV	III-Asian	EPI_ISL_17456936	2016-02-16	South America	Paraguay	unknown	unknown
hChikV/Paraguay/Fiocruz-00074/2016|EPI_ISL_17456937	unknown	hChikV	III-Asian	EPI_ISL_17456937	2016-02-19	South America	Paraguay	unknown	unknown
hChikV/Brazil/MT-Fiocruz-00047/2018|EPI_ISL_17456938	unknown	hChikV	II-ECSA	EPI_ISL_17456938	2018-02-23	South America	Brazil	Mato Grosso	unknown
hChikV/Brazil/RN-Fiocruz-00090/2019|EPI_ISL_17456939	unknown	hChikV	II-ECSA	EPI_ISL_17456939	2019-03-23	South America	Brazil	Rio Grande do Norte	unknown
hChikV/Paraguay/Fiocruz-00077/2016|EPI_ISL_17456941	unknown	hChikV	III-Asian	EPI_ISL_17456941	2016-01-21	South America	Paraguay	unknown	unknown
hChikV/Paraguay/Fiocruz-00078/2016|EPI_ISL_17456950	unknown	hChikV	III-Asian	EPI_ISL_17456950	2016-03-21	South America	Paraguay	unknown	unknown
hChikV/China/GD-GMU-DG892/2010|EPI_ISL_17457692	unknown	hChikV	II-ECSA	EPI_ISL_17457692	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/GD-GMU-GZ3626/2010|EPI_ISL_17457693	unknown	hChikV	II-ECSA	EPI_ISL_17457693	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/GD-GMU-DG895/2010|EPI_ISL_17457694	unknown	hChikV	II-ECSA	EPI_ISL_17457694	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/GD-GMU-DG894/2010|EPI_ISL_17457695	unknown	hChikV	II-ECSA	EPI_ISL_17457695	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/GD-GMU-GZ1029/2010|EPI_ISL_17457696	unknown	hChikV	II-ECSA	EPI_ISL_17457696	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/GD-GMU-GZ0991/2010|EPI_ISL_17457697	unknown	hChikV	II-ECSA	EPI_ISL_17457697	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/GD-GMU-DG891/2010|EPI_ISL_17457698	unknown	hChikV	II-ECSA	EPI_ISL_17457698	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/GD-GMU-DG893/2010|EPI_ISL_17457699	unknown	hChikV	II-ECSA	EPI_ISL_17457699	2010-10-15	Asia	China	Guangdong	unknown
hChikV/China/HA-HPCDC-00001/2017|EPI_ISL_17457701	Sanger	hChikV	II-ECSA	EPI_ISL_17457701	2017-12-15	Asia	China	Henan	unknown
hChikV/Laos/CIBU-55524ac8/2012|EPI_ISL_17457850	Sanger	hChikV	II-ECSA	EPI_ISL_17457850	2012-08-31	Asia	Laos	unknown	unknown
hChikV/Laos/CIBU-922fb091/2012|EPI_ISL_17457895	Sanger	hChikV	II-ECSA	EPI_ISL_17457895	2012-08-16	Asia	Laos	unknown	unknown
hChikV/Laos/CIBU-0698320f/2012|EPI_ISL_17457896	Sanger	hChikV	II-ECSA	EPI_ISL_17457896	2012-08-07	Asia	Laos	unknown	unknown
hChikV/Laos/CIBU-c0ba25ba/2013|EPI_ISL_17457897	Sanger	hChikV	II-ECSA	EPI_ISL_17457897	2013-03-12	Asia	Laos	unknown	unknown
