strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/South Africa/UTMB-0aa0fdff/1976|EPI_ISL_17456012	unknown	hChikV	II-ECSA	EPI_ISL_17456012	1976-07-01	Africa	South Africa	unknown	unknown
hChikV/Tanzania/UTMB-236adfcf/1953|EPI_ISL_17456013	unknown	hChikV	II-ECSA	EPI_ISL_17456013	1953-02-22	Africa	Tanzania	unknown	unknown
hChikV/Thailand/UTMB-62622641/1995|EPI_ISL_17456014	unknown	hChikV	III-Asian	EPI_ISL_17456014	1995-07-01	Asia	Thailand	unknown	unknown
hChikV/Nigeria/UTMB-8c4985b9/1964|EPI_ISL_17456015	unknown	hChikV	I-WestAfrica	EPI_ISL_17456015	1964-07-07	Africa	Nigeria	unknown	unknown
hChikV/Thailand/UTMB-12199817/1988|EPI_ISL_17456016	unknown	hChikV	III-Asian	EPI_ISL_17456016	1988-07-01	Asia	Thailand	unknown	unknown
hChikV/Sri Lanka/UTMB-5e60ea75/2007|EPI_ISL_17456017	unknown	hChikV	II-ECSA	EPI_ISL_17456017	2007-07-01	Asia	Sri Lanka	unknown	unknown
hChikV/India/un-UTMB-c31a522a/1963|EPI_ISL_17456018	unknown	hChikV	III-Asian	EPI_ISL_17456018	1963-11-06	Asia	India	unknown	unknown
hChikV/Thailand/UTMB-b9965dbe/1975|EPI_ISL_17456019	unknown	hChikV	III-Asian	EPI_ISL_17456019	1975-07-01	Asia	Thailand	unknown	unknown
hChikV/mosquito/Central African Republic/UTMB-280f2e3c/1984|EPI_ISL_17456021	unknown	hChikV	II-ECSA	EPI_ISL_17456021	1984-11-19	Africa	Central African Republic	unknown	unknown
hChikV/DRC/UTMB-bf45350b/1960|EPI_ISL_17456024	unknown	hChikV	II-ECSA	EPI_ISL_17456024	1960-07-01	Africa	Democratic Republic of the Congo	unknown	unknown
hChikV/Cayman Islands/UWI-dde559bc/2014|EPI_ISL_17456025	Illumina	hChikV	III-Asian	EPI_ISL_17456025	2014-09-17	North America	Cayman Islands	unknown	unknown
hChikV/Guyana/UWI-8b450740/2014|EPI_ISL_17456026	Illumina	hChikV	III-Asian	EPI_ISL_17456026	2014-05-31	South America	Guyana	unknown	unknown
hChikV/Antigua and Barbuda/UWI-39193a98/2014|EPI_ISL_17456027	Illumina	hChikV	III-Asian	EPI_ISL_17456027	2014-04-28	North America	Antigua and Barbuda	unknown	unknown
hChikV/Cayman Islands/UWI-42e34862/2014|EPI_ISL_17456028	Illumina	hChikV	III-Asian	EPI_ISL_17456028	2014-07-06	North America	Cayman Islands	unknown	unknown
hChikV/Guyana/UWI-adfd0bc3/2014|EPI_ISL_17456029	Illumina	hChikV	III-Asian	EPI_ISL_17456029	2014-11-03	South America	Guyana	unknown	unknown
hChikV/Montserrat/UWI-88dca192/2014|EPI_ISL_17456030	Illumina	hChikV	III-Asian	EPI_ISL_17456030	2014-10-30	North America	Montserrat	unknown	unknown
hChikV/Grenada/UWI-8fa75b9f/2014|EPI_ISL_17456031	Illumina	hChikV	III-Asian	EPI_ISL_17456031	2014-07-30	North America	Grenada	unknown	unknown
hChikV/Trinidad and Tobago/UWI-92b33db8/2011|EPI_ISL_17456032	Illumina	hChikV	III-Asian	EPI_ISL_17456032	2011-11-15	South America	Trinidad and Tobago	unknown	unknown
hChikV/Suriname/UWI-5b763b43/2014|EPI_ISL_17456033	Illumina	hChikV	III-Asian	EPI_ISL_17456033	2014-08-02	South America	Suriname	unknown	unknown
hChikV/Guyana/UWI-0217decc/2014|EPI_ISL_17456034	Illumina	hChikV	III-Asian	EPI_ISL_17456034	2014-05-17	South America	Guyana	unknown	unknown
hChikV/Jamaica/UWI-ea6c57c8/2014|EPI_ISL_17456035	Illumina	hChikV	III-Asian	EPI_ISL_17456035	2014-08-25	North America	Jamaica	unknown	unknown
hChikV/Saint Lucia/UWI-4e9d9f73/2014|EPI_ISL_17456036	Illumina	hChikV	III-Asian	EPI_ISL_17456036	2014-05-19	North America	Saint Lucia	unknown	unknown
hChikV/Trinidad and Tobago/UWI-8a5d2bf5/2014|EPI_ISL_17456037	Illumina	hChikV	III-Asian	EPI_ISL_17456037	2014-08-17	South America	Trinidad and Tobago	unknown	unknown
hChikV/Anguilla/UWI-2e270fb1/2014|EPI_ISL_17456038	Illumina	hChikV	III-Asian	EPI_ISL_17456038	2014-02-12	North America	Anguilla	unknown	unknown
hChikV/Barbados/UWI-0462bf9a/2014|EPI_ISL_17456039	Illumina	hChikV	III-Asian	EPI_ISL_17456039	2014-08-15	North America	Barbados	unknown	unknown
hChikV/Anguilla/UWI-549bbb26/2014|EPI_ISL_17456040	Illumina	hChikV	III-Asian	EPI_ISL_17456040	2014-11-12	North America	Anguilla	unknown	unknown
hChikV/Jamaica/UWI-b63c621a/2014|EPI_ISL_17456041	Illumina	hChikV	III-Asian	EPI_ISL_17456041	2014-08-24	North America	Jamaica	unknown	unknown
hChikV/Bahamas/UWI-08c9a85f/2014|EPI_ISL_17456042	Illumina	hChikV	III-Asian	EPI_ISL_17456042	2014-07-08	North America	The Bahamas	unknown	unknown
hChikV/Suriname/UWI-0cfe270a/2014|EPI_ISL_17456043	Illumina	hChikV	III-Asian	EPI_ISL_17456043	2014-08-17	South America	Suriname	unknown	unknown
